id,type,name,description,target,belongs_to,pc,median_tau_score,ts_pc,sum_tau,Kang_Berch_Combined_Signature,Progerin_Signature,Serum_6hr_Signature_probeSet_summed2genes_before_LmFit,Serum_72hr_Signature_probeSet_summed2genes_before_LmFit,Serum_144hr_Signature_probeSet_summed2genes_before_LmFit,Serum_1hr_Signature_probeSet_summed2genes_before_LmFit,Serum_24hr_Signature_probeSet_summed2genes_before_LmFit
BRD-A85234536,CP,N6-cyclopentyladenosine,adenosine receptor agonist,"ADORA1, ADORA2A, ADORA2B, ADORA3, SLC29A1",Adenosine receptor agonist,"0.00, 0.00",3.65,"1.27, 0.39",69.87,-10.69,29.53,11.7,2.74,34.03,-1.09,3.65
BRD-K88172511,CP,naltrexone,"opioid receptor antagonist, opioid receptor ligand","OPRK1, OPRM1, OPRD1, SIGMAR1",,"0.00, 0.00",3.84,"0.51, 0.15",69.83,-11.4,58.31,12.92,11.38,3.84,-3.88,-1.34
BRD-K18619710,CP,digoxigenin,ATPase inhibitor,ATP1A1,,"1.43, 0.00",15.33,"1.19, 0.38",69.77,59.65,72.73,15.33,17.49,-10.96,-82.57,-1.9
BRD-A94297859,CP,BRD-A94297859,XIAP inhibitor,XIAP,,"0.00, 0.00",29.22,"1.56, 0.43",69.73,-9.48,51.18,-68.71,45.27,-13.45,35.7,29.22
BRD-K73196317,CP,urapidil,"adrenergic receptor antagonist, serotonin receptor agonist",HTR1A,,"1.79, 0.00",-1.79,"1.93, 0.51",69.73,5.29,95.61,-7.12,-2.54,-1.79,-19.44,-0.28
BRD-A83695761,CP,chromanol,potassium channel blocker,,Potassium channel blocker,"0.00, 0.00",16.21,"1.01, 0.31",69.73,-17.83,47.4,-37.29,35.98,2.5,22.76,16.21
BRD-K82577285,CP,dipropyl-dopamine,dopamine receptor agonist,,,"0.00, 0.00",2.47,"2.07, 0.69",69.64,2.47,72.08,-14.67,13.15,-3.69,-19.97,20.27
BRD-K20714604,CP,RS-56812,"serotonin receptor antagonist, serotonin receptor partial agonist",HTR3A,,"2.86, 1.43",9.54,"0.95, 0.38",69.61,1.52,35.97,-45.79,2.04,9.54,36.47,29.86
BRD-K96809896,CP,SKF-86002,p38 MAPK inhibitor,"ALOX5, MAPK14",P38 MAPK inhibitor,"2.86, 0.00",3.38,"1.01, 0.36",69.53,33.79,51.49,39.13,0,3.38,-50.44,-7.82
BRD-K32318651,CP,acyclovir,"DNA polymerase inhibitor, DNA directed DNA polymerase inhibitor",PNP,,"1.43, 0.00",30.24,"1.99, 0.50",69.52,47.43,30.24,43.49,40.46,20.41,-73.86,-38.65
BRD-A55416093,CP,colforsin,"adenylyl cyclase activator, Adenylate cyclase stimulant, growth hormone receptor agonist, phosphokinase stimulant","ADCY2, ADCY5, GNAS",,"2.86, 2.86",17.85,"0.95, 0.47",69.27,-18.25,43.62,17.85,51.05,3.03,-64.13,36.1
BRD-K29530284,CP,amlexanox,"histamine release inhibitor, mediator release inhibitor","FGF1, IL3, S100A12, S100A13",,"1.79, 0.00",0.88,"1.24, 0.34",69.16,-10.06,26.58,-32.39,28.85,56.75,-1.45,0.88
BRD-K88611939,CP,aniracetam,glutamate receptor agonist,"DRD2, GRIA1, GRIA2, GRIA3, HTR2A, GRIA4",,"0.00, 0.00",2.89,"0.52, 0.08",69.06,-15.44,49.02,61.4,2.89,2.4,23.16,-54.37
BRD-K99818283,CP,PIK-90,PI3K inhibitor,,PI3K inhibitor,"12.86, 10.00",19.41,"1.57, 0.61",68.89,10.99,19.41,98.7,-73.2,72.34,27.91,-87.26
BRD-K27316855,CP,calcitriol,"vitamin D receptor agonist, hypercalcaemic agent","VDR, CYP3A5",,"0.00, 0.00",1.48,"0.93, 0.18",68.82,1.02,46.76,0.53,5.07,1.2,12.76,1.48
BRD-K12057390,CP,apigenin,"casein kinase inhibitor, cell proliferation inhibitor, cytochrome P450 inhibitor, GABA receptor antagonist, glutamate receptor antagonist, monoamine oxidase inhibitor, nitric oxide production inhibitor, ornithine decarboxylase inhibitor, quorum sensing signaling modulator, VEGF expression inhibitor, xanthine oxidase inhibitor","AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1A2, CYP1B1, HSD17B1, MAOA, ODC1, XDH",,"0.00, 0.00",6.53,"0.89, 0.16",68.56,-11.24,28.32,25.22,-10.28,6.53,33.64,-3.63
BRD-A48631911,CP,mibefradil,"T-type calcium channel blocker, angiogenesis inhibitor, calcium channel blocker, calcium channel inhibitor, L-type calcium channel blocker, sodium channel blocker","CACNA1G, CACNA1H, CACNA1C, CACNA1I, ANO1, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP3A5, CYP3A7, SCN2A, SCN4A, SCN5A, SCN9A",,"1.59, 0.00",14.86,"1.25, 0.33",68.5,52.02,77.77,92.71,14.86,-52.58,-33.98,-82.3
BRD-A20126139,CP,medrysone,"corticosteroid hormone receptor agonist, glucocorticoid receptor agonist",NR3C1,Glucocorticoid receptor agonist,"1.43, 0.00",1.9,"1.15, 0.48",68.39,60.64,25.17,35.41,-9.31,1.9,-41.68,-3.74
BRD-A24817035,CP,laudanosine,central nervous system agent,,,"0.00, 0.00",3.57,"1.32, 0.27",68.36,3.57,31.23,18.76,0,30.91,-7.39,-8.72
BRD-K06147391,CP,telenzepine,acetylcholine receptor antagonist,CHRM1,,"0.00, 0.00",0.85,"0.53, 0.17",68.27,10,74.35,0.85,-3.57,4.79,-11.15,-7
BRD-K29905972,CP,axitinib,"VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, angiogenesis inhibitor, KIT inhibitor, VEGFR antagonist","KDR, FLT1, FLT4, CSF1, CYP2C19, CYP3A5, KIT, PDGFRB, PLK4",VEGFR inhibitor,"0.00, 0.00",11.42,"0.99, 0.20",68.19,-9.08,51.54,17.73,11.42,6.28,25.41,-35.11
BRD-K69556541,CP,ryanodine,calcium channel inhibitor,"RYR1, RYR2, RYR3",,"0.00, 0.00",6.12,"1.49, 0.45",68.15,6.12,-23.93,21.2,0,20.84,46.39,-2.47
BRD-K83837640,CP,JNJ-26854165,"HDAC inhibitor, MDM inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, MDM2",,"1.43, 1.43",0,"1.40, 0.39",68.09,12.35,34.43,0,-23.58,0,46.55,-1.66
BRD-K50018155,CP,RS-67506,serotonin receptor partial agonist,HTR4,,"0.00, 0.00",7.55,"0.85, 0.16",68.04,-12.96,52.95,7.55,-14.91,11.25,44.68,-20.52
BRD-K78485176,CP,olmesartan,"angiotensin receptor antagonist, angiotensin antagonist",AGTR1,Angiotensin receptor antagonist,"0.00, 0.00",-0.7,"0.98, 0.26",67.99,32.5,31.72,26.78,-4.64,-0.7,-16.33,-1.34
BRD-K84895041,CP,BMY-45778,IP1 prostacyclin receptor agonist,PTGIR,,"1.59, 0.00",0,"1.58, 0.56",67.84,56.76,-14.55,0,42.69,-17.56,38.62,-38.12
BRD-K79092138,CP,nitrofural,POXB inhibitor,,,"3.17, 1.59",0,"1.19, 0.31",67.8,-2.29,51.28,3.66,0,-0.48,-13.15,28.78
BRD-K88849294,CP,lobaric-acid,tyrosine phosphatase inhibitor,PTPN1,,"3.17, 1.59",11.15,"1.53, 0.39",67.75,29.56,26.43,11.15,-48.18,0,54.92,-6.13
BRD-A52193669,CP,withaferin-a,"acetylcholinesterase inhibitor, butyrylcholinesterase inhibitors, IKK inhibitor, NFkB pathway inhibitor, PKC inhibitor","ACHE, BCHE, IKBKB",IKK inhibitor,"2.86, 2.86",14.8,"1.85, 0.40",67.75,15.51,70.21,-89.22,1.45,14.8,-4.53,59.53
BRD-A41301928,CP,bongkrek-acid,"mitochondrial ADP, ATP translocase inhibitor",SLC25A4,,"1.43, 0.00",1.13,"1.39, 0.41",67.72,28.73,64.1,-11.2,-1.41,23.07,-36.7,1.13
BRD-K90027355,CP,spironolactone,"mineralocorticoid receptor antagonist, androgen receptor antagonist, potassium channel blocker","NR3C2, AR, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CYP11B2, KCNA5, KCND3, NR3C1, PGR, SCNN1A, SHBG",,"0.00, 0.00",5.26,"0.53, 0.15",67.6,5.26,19.35,40.91,-0.39,-1.09,5.53,-1.97
BRD-K99291625,CP,SB-203580,"p38 MAPK inhibitor, calcium channel activator, interleukin inhibitor, stress activated protein kinase inhibitor","MAPK14, MAPK1, MAPK11, AKT1, ALOX5, CHEK1, CYP2D6, CYP3A4, GAK, GSK3B, LCK, MAPK10, MAPK12, MAPK8, MAPK9, PRKCA, RAF1, RIPK2, ROCK1, RPS6KB1, SGK1, SRC, TNF",P38 MAPK inhibitor,"1.43, 1.43",0,"1.74, 0.34",67.59,-8.88,55.89,64.05,2.11,0,-12.46,-33.12
BRD-K54472332,CP,elvitegravir,"HIV integrase inhibitor, HIV inhibitor",,,"1.43, 0.00",17.41,"1.10, 0.33",67.38,-18.47,83.03,-58.33,50.29,-27.18,17.41,20.63
BRD-K51066026,CP,aminoindazole,ionophore,,,"0.00, 0.00",1.44,"0.99, 0.36",67.35,-21.05,68.72,1.44,-1.52,14.01,5.75,0
BRD-A78942461,CP,ICI-118551,adrenergic receptor antagonist,,,"1.59, 0.00",0.18,"1.08, 0.27",67.32,0.11,54.04,14.26,-2.47,0.18,-0.46,1.66
BRD-K40782193,CP,QX-222,sodium channel blocker,,,"1.59, 0.00",-2.98,"1.09, 0.33",67.29,-9.29,82.4,-49.78,-3.63,-2.98,48.03,2.54
BRD-K97061094,CP,azacyclonol,ataractive drug used to diminish hallucinations,HRH1,,"0.00, 0.00",3.56,"0.89, 0.14",67.29,-46.35,57.84,17.82,3.56,41.69,-8.36,1.09
BRD-K91263825,CP,nortriptyline,"PI3K inhibitor, potassium channel blocker, tricyclic antidepressant (TCA)","KCNJ10, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, PGRMC1, PIK3CD, SIGMAR1",Tricyclic antidepressant,"0.00, 0.00",9.94,"1.60, 0.50",67.29,34.37,9.94,49.85,0.78,-16.31,19.62,-30.96
BRD-A27489425,CP,rolitetracycline,antibiotic,,,"4.29, 1.43",-15.32,"1.91, 0.49",67.2,63.21,96.34,32.74,-53.26,-26.22,-30.29,-15.32
BRD-K37561857,CP,zardaverine,phosphodiesterase inhibitor,"PDE4D, PDE3A, PDE4A, PDE4B, PDE4C",,"1.43, 0.00",-1.41,"0.61, 0.11",67.16,-42.28,-7.58,-8.08,-1.41,66.62,27.78,32.11
BRD-A46393198,CP,tetramisole,alkaline phosphatase inhibitor,,,"0.00, 0.00",2.33,"1.20, 0.38",67.02,3,35.7,36.92,2.22,1.28,-14.43,2.33
BRD-K67102207,CP,phenylbutyrate,"HDAC inhibitor, cell cycle inhibitor, pharmacological chaperone, pyruvate dehydrogenase kinase inhibitor","CYP3A5, HDAC1",,"1.59, 1.59",18.02,"0.95, 0.33",66.92,38.47,25.87,31.79,5.14,-26.75,18.02,-25.62
BRD-K10042277,CP,desmethylclozapine,"acetylcholine receptor agonist, dopamine receptor agonist, dopamine receptor antagonist, dopamine receptor partial agonist, serotonin receptor antagonist, serotonin receptor inverse agonist","CHRM1, DRD2, DRD3, HTR2A",,"2.86, 1.43",1.52,"0.95, 0.25",66.69,18.15,-2.07,44.47,0.63,1.52,8.82,-4.83
BRD-K35240538,CP,methylprednisolone,glucocorticoid receptor agonist,NR3C1,Glucocorticoid receptor agonist,"1.43, 0.00",10.74,"1.44, 0.60",66.58,47.39,17.94,10.74,20.93,-1.76,2.61,-31.27
BRD-K54233340,CP,dorsomorphin,"AMPK inhibitor, DNA damaging, TGF beta receptor inhibitor","ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC",,"2.86, 1.43",31.25,"1.16, 0.24",66.53,89.47,60.88,31.25,84.05,-56.48,-93.53,-49.11
BRD-K96778649,CP,tyrphostin-47,"EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor",EGFR,,"0.00, 0.00",5.54,"1.05, 0.30",66.52,29.37,68.7,-16.32,1.3,-44.38,5.54,22.31
BRD-K50128260,CP,sildenafil,phosphodiesterase inhibitor,"PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3",,"4.29, 1.43",1.02,"0.40, 0.06",66.5,-15.32,-36.15,-31.42,1.02,49.73,35.46,63.18
BRD-K02590140,CP,O-2050,cannabinoid receptor antagonist,CNR1,,"0.00, 0.00",-0.88,"1.14, 0.42",66.33,0.88,75.92,-49.98,-0.88,-7.48,-0.88,48.75
BRD-K22947005,CP,dexbrompheniramine,histamine receptor antagonist,HRH1,,"1.79, 0.00",-2.11,"1.17, 0.30",66.3,43.25,79.17,77.55,-62.61,-19.05,-49.9,-2.11
BRD-K81876028,CP,CP-93129,serotonin receptor agonist,"HTR1A, HTR1B",,"1.43, 1.43",0,"1.17, 0.32",66.23,7.71,68.21,-3.86,11.18,-1.44,-15.57,0
BRD-K43389675,CP,daunorubicin,"RNA synthesis inhibitor, topoisomerase inhibitor, DNA synthesis inhibitor, radical formation stimulant","TOP2A, TOP2B",Topoisomerase inhibitor,"8.57, 5.71",-14.66,"2.67, 0.82",66.22,55,91.94,98.27,-14.66,-48.54,-40.97,-74.82
BRD-A45499626,CP,UBP-302,glutamate receptor antagonist,GRIK1,,"0.00, 0.00",12.5,"0.94, 0.34",66.09,20.46,12.5,13.26,0,22.49,12.32,-14.94
BRD-K47207162,CP,zimelidine,serotonin uptake inhibitor,"SLC6A4, MAOA, MAOB",,"3.17, 1.59",7.85,"0.98, 0.25",66.06,-11.66,61.45,-20.29,2.19,16.59,7.85,9.93
BRD-K62810658,CP,PD-98059,"MEK inhibitor, MAP kinase inhibitor","MAP2K1, AKT1, CHEK1, GSK3B, LCK, MAP2K2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK3, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1",MEK inhibitor,"2.86, 1.43",5.96,"0.90, 0.23",65.99,-3.91,29.84,73.31,-46.07,5.96,24.13,-17.27
BRD-K59962020,CP,CHEMBL-374350,NFkB pathway inhibitor,,,"0.00, 0.00",0.67,"1.70, 0.33",65.98,18.49,22.18,45.54,0.25,-1.94,0.67,-19.21
BRD-K82216340,CP,medroxyprogesterone,progesterone receptor agonist,"PGR, ESR1",Progesterone receptor agonist,"0.00, 0.00",0,"1.81, 0.60",65.87,13.91,86.34,-21.7,0,0,-23.72,11.04
BRD-K42748308,CP,XE-991,"acetylcholine release enhancer, potassium channel blocker, voltage-gated potassium channel blocker","KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5",,"1.43, 1.43",3.44,"0.73, 0.24",65.8,-50.27,28.65,3.44,-3.33,80.34,-4.69,11.66
BRD-K13514097,CP,everolimus,"mTOR inhibitor, angiogenesis inhibitor, cell cycle inhibitor, immunosuppressant, protein kinase inhibitor, rotamase inhibitor","MTOR, CYP3A5, FKBP1A",,"4.29, 1.43",10.06,"1.93, 0.51",65.75,93.89,47.08,10.06,80.82,-56.15,-89.62,-20.33
BRD-A84389091,CP,L-655708,GABA receptor inverse agonist,"GABRA5, GABRA1, GABRA2, GABRA3, GABRG2",,"1.59, 0.00",1.41,"0.99, 0.30",65.73,-4.55,33.1,49.53,2.65,1.41,-14.79,-1.62
BRD-A05352148,CP,ipratropium,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",,"0.00, 0.00",5.64,"0.75, 0.27",65.65,-1.16,39.96,6.52,-2.54,16.07,5.64,1.16
BRD-K97118047,CP,"4,5,6,7-tetrabromobenzotriazole",casein kinase inhibitor,"CSNK2A1, AKT1, CHEK1, CSNK2A2, CSNK2B, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SGK1",,"0.00, 0.00",8.48,"0.66, 0.16",65.56,-3.21,-0.95,8.48,11.33,19.61,31.53,-1.23
BRD-A57382968,CP,piroxicam,cyclooxygenase inhibitor,"PTGS2, PTGS1",,"0.00, 0.00",2.64,"0.58, 0.16",65.51,-5.82,51.87,-10.49,33.68,13.07,-19.44,2.64
BRD-K02526760,CP,QS-11,ARFGAP inhibitor,ARFGAP1,,"1.43, 0.00",-0.32,"1.27, 0.35",65.33,64.17,-9.42,41.77,0.46,-0.32,-0.39,-30.94
BRD-K79404599,CP,enzastaurin,"PKC inhibitor, AKT inhibitor, angiogenesis inhibitor, apoptosis stimulant, PI3K inhibitor","PRKCB, AKT1, GSK3B, PRKCA, PRKCD, PRKCG",PKC inhibitor,"8.57, 5.71",13.9,"0.86, 0.27",65.25,-92.8,57.29,-98.94,-0.45,13.9,88.65,97.6
BRD-K86204871,CP,terconazole,"cell wall synthesis inhibitor, sterol demethylase inhibitor",,Sterol demethylase inhibitor,"1.43, 0.00",1.61,"0.58, 0.15",65.15,11.74,40.86,-15.09,-7.44,1.61,-0.7,34.17
BRD-A84134924,CP,pancuronium,acetylcholine receptor antagonist,"CHRM2, CHRM3, CHRNA1, CHRNA2",,"1.79, 1.79",0,"1.82, 0.60",65.08,11.61,62.49,8.41,0,-5.25,-11.08,-1.1
BRD-A82096673,CP,KU-C103428N,"CDC inhibitor, rho GTPase inhibitor",NFE2,,"0.00, 0.00",10.86,"0.64, 0.17",65.05,10.86,12.86,40.57,49.46,8.88,-32.03,-25.55
BRD-K74733595,CP,APHA-compound-8,HDAC inhibitor,HDAC8,HDAC inhibitor,"4.29, 0.00",57.81,"1.50, 0.48",64.86,78.71,64.12,68.08,57.81,-96.6,-12.45,-94.81
BRD-K28936863,CP,ketotifen,"histamine receptor ligand, leukotriene antagonist, phosphodiesterase inhibitor","HRH1, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B, PDE8A, PDE8B, PGD",,"1.43, 1.43",2.29,"0.52, 0.07",64.59,-4.52,54.55,2.29,0.35,8.18,3.95,-0.21
BRD-A61856038,CP,tremulacin,5-lipoxygenase inhibitor,,,"0.00, 0.00",0.86,"1.53, 0.52",64.59,79.39,76.73,14.24,0.86,-7.84,-71.12,-27.67
BRD-A18419789,CP,etoposide,"topoisomerase inhibitor, cell cycle inhibitor, DNA inhibitor, DNA intercalating drug, DNA repair enzyme inhibitor","TOP2A, CYP2E1, CYP3A5, TOP2B",,"1.59, 0.00",-9.42,"2.66, 0.72",64.48,90.59,61.81,-38.21,75.68,-37,-78.97,-9.42
BRD-K15409150,CP,penfluridol,"dopamine receptor antagonist, T-type calcium channel blocker","CACNA1G, DRD1, DRD2",T-type calcium channel blocker,"1.43, 0.00",-1.23,"1.57, 0.35",64.46,88.42,59.17,-55.07,12.86,-1.23,-27.39,-12.3
BRD-K98372770,CP,L-2167,PPAR receptor agonist,PPARD,,"4.29, 0.00",-4.37,"1.02, 0.34",64.45,-5.21,-79.92,-79.81,-4.37,84.77,67.13,81.86
BRD-K23583188,CP,lavendustin-a,"EGFR inhibitor, tyrosine kinase inhibitor","EGFR, LCK",,"1.43, 0.00",-1.27,"1.42, 0.33",64.38,-11.82,-14.02,12.24,-12.67,54.64,37.28,-1.27
BRD-K09416995,CP,lovastatin,HMGCR inhibitor,"HMGCR, CYP3A5, HDAC2, ITGAL, NR1I2",HMGCR inhibitor,"0.00, 0.00",4.17,"0.77, 0.16",64.33,-1.48,24.43,55.14,1.34,10.85,4.17,-30.12
BRD-K67043667,CP,altretamine,DNA synthesis inhibitor,,,"0.00, 0.00",7.86,"0.41, 0.07",64.21,11.76,-8.5,-22.27,-7.22,11.58,71,7.86
BRD-K68402494,CP,ML-9,myosin light chain kinase inhibitor,"MLCK, TRPC6, PKA, PKC",,"0.00, 0.00",3.24,"1.17, 0.38",64.13,0.46,21.75,40.14,-4.14,3.24,7.11,-4.43
BRD-A30655177,CP,LFM-A13,Bruton's tyrosine kinase (BTK) inhibitor,BTK,,"2.86, 1.43",2.15,"0.69, 0.13",64.06,-17.67,-9.7,76.88,2.15,12.1,13.25,-12.95
BRD-A96107863,CP,nisoldipine,"calcium channel blocker, L-type calcium channel blocker","CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNB2, CYP3A5",Calcium channel blocker,"0.00, 0.00",9.67,"1.45, 0.64",63.96,12.68,53.24,11,0.92,-22.83,-0.72,9.67
BRD-K09963420,CP,saquinavir,"HIV protease inhibitor, peptidase inhibitor","CYP3A4, CYP3A5",,"0.00, 0.00",0.53,"1.15, 0.35",63.91,2.8,46.82,13.57,-0.03,0.53,-0.03,0.25
BRD-K72420232,CP,WZ-4002,EGFR inhibitor,"EGFR, ERBB2",EGFR inhibitor,"1.43, 1.43",5.4,"1.35, 0.40",63.82,5.4,-47.13,85.11,-21.55,31.3,29.83,-19.14
BRD-A69960130,CP,bromocriptine,"dopamine receptor agonist, dopamine receptor antagonist, prolactin secretion inhibitor","DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1A, ADRA1B, ADRA1D, HTR6, HTR7, PRL",,"0.00, 0.00",0.78,"1.01, 0.19",63.82,26.1,50.98,60.26,-6.94,-16.33,-51.03,0.78
BRD-K29313308,CP,HDAC3-selective,HDAC inhibitor,HDAC3,,"0.00, 0.00",2.96,"0.56, 0.36",63.78,52.01,37.72,37.66,-7.5,2.96,-0.02,-59.05
BRD-A95696820,CP,acadesine,"adenosine release stimulant, AMPK activator, AMPK stimulant",,,"2.38, 2.38",5.67,"2.15, 0.51",63.72,5.67,53.37,36.67,0,7.46,-4.86,-34.59
BRD-A02189320,CP,met-leu-phe,in touchstone,,,"0.00, 0.00",6.02,"1.18, 0.31",63.63,-7.92,37.45,13.28,25.02,6.02,-3.56,-6.66
BRD-K87991767,CP,umbelliferone,"carbonic anhydrase inhibitor, cyclooxygenase inhibitor","CA9, CA12, PTGS2",,"1.43, 0.00",20.87,"0.61, 0.16",63.63,-50.69,-5.68,-42.72,35.14,62.46,44.25,20.87
BRD-K30020243,CP,aliskiren,"renin inhibitor, peptidase inhibitor, protease inhibitor",REN,,"0.00, 0.00",7.91,"0.56, 0.11",63.43,5.68,26.49,11.2,-7.12,7.12,7.91,12.15
BRD-K55070890,CP,thiothixene,"dopamine receptor, dopamine receptor antagonist","HTR2A, DRD1, DRD2, HRH1",,"2.86, 0.00",0,"1.80, 0.45",63.39,38.33,75.91,77.85,0,-1.44,-65.53,-61.73
BRD-K66198023,CP,losartan,angiotensin receptor antagonist,AGTR1,,"0.00, 0.00",-1.48,"1.78, 0.38",63.39,11.91,-17.45,46.75,-1.48,36.37,-10.82,-1.89
BRD-K69932463,CP,AZD-8055,mTOR inhibitor,MTOR,MTOR inhibitor,"11.43, 8.57",13.7,"2.34, 0.75",63.38,-17.75,36.56,98.77,-68.16,85.88,13.7,-85.62
BRD-K40645748,CP,mefloquine,"acidifying agent non gastric, adenosine receptor antagonist, calmodulin antagonist, hemoglobin antagonist, pannexin inhibitor","ADORA2A, HBA1, PANX1",,"1.59, 0.00",0,"1.34, 0.28",63.18,49.53,38.95,37.26,-24.97,0,0,-37.59
BRD-A87125127,CP,3-matida,glutamate receptor antagonist,GRM1,,"4.76, 2.38",9.35,"1.87, 0.60",63.17,-49.07,9.35,19.74,0,56.57,18.2,8.38
BRD-K06980535,CP,promazine,"dopamine receptor, dopamine receptor antagonist","CHRM5, DRD2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, DRD1, DRD3, DRD4, HRH1, HTR2A, HTR2C",Dopamine receptor antagonist,"0.00, 0.00",-0.03,"1.41, 0.49",63.04,-0.03,-3.38,64.39,-0.03,-2.04,16.04,-11.91
BRD-K39670393,CP,amthamine,histamine receptor agonist,HRH2,,"1.43, 0.00",6.88,"0.82, 0.24",63.03,6.88,16.28,15.77,0.95,24.63,0,-1.48
BRD-A16478930,CP,amcinonide,"corticosteroid agonist, cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant","NR3C1, ANXA1",Glucocorticoid receptor agonist,"3.17, 0.00",9.21,"1.53, 0.59",63.03,8.7,77.64,-64.26,17.28,9.6,4.86,9.21
BRD-K81473089,CP,tacrine,"acetylcholinesterase inhibitor, acetylcholine release stimulant, butyrylcholinesterase inhibitors, potassium channel antagonist","ACHE, BCHE",,"0.00, 0.00",1.16,"0.77, 0.17",63.01,-1.84,43.46,17.76,-1.26,1.16,5.67,-1.94
BRD-K25433859,CP,maprotiline,"norepinephrine reputake inhibitor, tricyclic antidepressant (TCA)","SLC6A2, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR2A, HTR2C, HTR7",,"0.00, 0.00",2.99,"1.39, 0.55",62.92,7.52,45.2,46.4,-9.23,2.99,-28.9,-1.06
BRD-A11135865,CP,nor-binaltorphimine,opioid receptor antagonist,,,"1.59, 0.00",2.42,"0.80, 0.19",62.91,3.81,42.54,13.99,0,0.78,2.42,-0.63
BRD-A51410489,CP,yohimbine,adrenergic receptor antagonist,"ADRA2A, ADRA2C, ADRA2B, HTR1A, HTR1B, HTR1D, HTR2B, DRD2, DRD3, HTR1E, HTR1F, HTR2A, HTR2C, HTR5A, HTR7, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ8",,"0.00, 0.00",12.32,"1.49, 0.53",62.84,-4.87,59.59,19.31,12.32,32.46,-51.52,-4.45
BRD-K39621635,CP,artemether,"antimalarial, interacts with heme and with COX3","ATP1A1, CYP2B6, CYP2C19, CYP3A5",,"0.00, 0.00",6.91,"1.15, 0.26",62.68,7.2,66.1,11.23,6.91,-14.59,-6.48,-7.69
BRD-K53737926,CP,amitriptyline,"norepinephrine inhibitor, serotonin receptor inhibitor, sigma receptor inhibitor","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HTR6, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1",Serotonin receptor antagonist,"0.00, 0.00",0.49,"1.08, 0.27",62.62,10.06,66.05,33.12,0.49,-0.14,-13.74,-33.22
BRD-A32917072,CP,BRD-A32917072,ROR antagonist,RORC,,"0.00, 0.00",0,"0.67, 0.18",62.35,-3.21,53.04,12.46,2.74,0,-1.09,-1.59
BRD-A50311610,CP,meclozine,constitutive androstane receptor (CAR) agonist,"NR1I3, HRH1",,"0.00, 0.00",2.5,"0.80, 0.23",62.17,2.5,35.99,4.95,-1.09,2.08,1.37,16.37
